Matt Ryan,ATL,4,101,140,1473,11
Drew Brees,NO,4,116,176,1269,10
Andy Dalton,CIN,4,97,146,1234,3
Matthew Stafford,DET,4,104,156,1198,7
Kirk Cousins,WAS,4,151,151,1172,6
Carson Palmer,ARI,4,90,153,1150,6
Andrew Luck,IND,4,103,166,1147,8
Ben Roethlisberger,PIT,4,92,145,1116,11
Philip Rivers,SD,4,96,142,1110,7
Jameis Winston,TB,4,103,177,1108,8
Ryan Tannehill,MIA,4,88,138,1081,6
Alex Smith,KC,4,109,168,1073,5
Joe Flacco,BAL,4,108,170,1072,4
Derek Carr,OAK,4,104,153,1066,9
Russell Wilson,SEA,4,87,133,1064,5
Blake Bortles,JAC,4,98,160,1050,7
Ryan Fitzpatrick,NYJ,4,86,154,1012,4
Dak Prescott,DAL,4,89,131,1012,3
Cam Newton,CAR,4,77,133,974,6
Brock Osweiler,HOU,4,90,146,949,5
